GemeenteCode;GemeenteNaam;PartijNaam;AantalStemmen
114;Emmen;SP (Socialistische Partij);6227
114;Emmen;Splinter;150
114;Emmen;Staatkundig Gereformeerde Partij (SGP);319
114;Emmen;Trots op Nederland (TROTS);198
114;Emmen;VVD;11658
114;Emmen;Volt;646
118;Hoogeveen;50PLUS;369
118;Hoogeveen;BBB;665
118;Hoogeveen;BIJ1;48
118;Hoogeveen;Blanco (lijst 30);36
118;Hoogeveen;CDA;4917
118;Hoogeveen;CODE ORANJE;142
118;Hoogeveen;ChristenUnie;2430
118;Hoogeveen;D66;2715
118;Hoogeveen;DENK;119
118;Hoogeveen;Forum voor Democratie;2600
118;Hoogeveen;GROENLINKS;848
118;Hoogeveen;JA21;754
118;Hoogeveen;JEZUS LEEFT;53
118;Hoogeveen;JONG;234
118;Hoogeveen;LP (Libertaire Partij);22
118;Hoogeveen;Lijst Henk Krol;33
118;Hoogeveen;Modern Nederland;3
118;Hoogeveen;NIDA;16
118;Hoogeveen;NLBeter;14
118;Hoogeveen;OPRECHT;94
118;Hoogeveen;PVV (Partij voor de Vrijheid);5587
118;Hoogeveen;Partij van de Arbeid (P.v.d.A.);2064
118;Hoogeveen;Partij voor de Dieren;689
118;Hoogeveen;Piratenpartij;49
118;Hoogeveen;SP (Socialistische Partij);2398
118;Hoogeveen;Splinter;83
118;Hoogeveen;Staatkundig Gereformeerde Partij (SGP);700
118;Hoogeveen;Trots op Nederland (TROTS);127
118;Hoogeveen;VVD;5814
118;Hoogeveen;Volt;280
119;Meppel;50PLUS;211
119;Meppel;BBB;269
119;Meppel;BIJ1;65
119;Meppel;Blanco (lijst 30);45
119;Meppel;CDA;2363
119;Meppel;CODE ORANJE;80
119;Meppel;ChristenUnie;1219
119;Meppel;D66;3197
119;Meppel;DENK;161
119;Meppel;Forum voor Democratie;1099
119;Meppel;GROENLINKS;984
119;Meppel;JA21;496
119;Meppel;JEZUS LEEFT;13
119;Meppel;JONG;41
119;Meppel;LP (Libertaire Partij);6
119;Meppel;Lijst Henk Krol;14
119;Meppel;Modern Nederland;1
119;Meppel;NIDA;49
119;Meppel;NLBeter;22
119;Meppel;OPRECHT;25
119;Meppel;PVV (Partij voor de Vrijheid);2141
119;Meppel;Partij van de Arbeid (P.v.d.A.);1580
119;Meppel;Partij voor de Dieren;834
119;Meppel;Piratenpartij;28
119;Meppel;SP (Socialistische Partij);1634
119;Meppel;Splinter;91
119;Meppel;Staatkundig Gereformeerde Partij (SGP);135
119;Meppel;Trots op Nederland (TROTS);48
119;Meppel;VVD;4764
119;Meppel;Volt;401
141;Almelo;50PLUS;386
141;Almelo;BBB;416
141;Almelo;BIJ1;78
141;Almelo;Blanco (lijst 30);31
141;Almelo;CDA;5184
141;Almelo;CODE ORANJE;149
141;Almelo;ChristenUnie;1296
141;Almelo;D66;4501
141;Almelo;DENK;1485
141;Almelo;Forum voor Democratie;2685
141;Almelo;GROENLINKS;1414
141;Almelo;JA21;882
141;Almelo;JEZUS LEEFT;34
141;Almelo;JONG;46
141;Almelo;LP (Libertaire Partij);24
141;Almelo;Lijst Henk Krol;38
141;Almelo;NIDA;99
141;Almelo;NLBeter;31
141;Almelo;OPRECHT;40
141;Almelo;PVV (Partij voor de Vrijheid);6293
141;Almelo;Partij van de Arbeid (P.v.d.A.);2379
141;Almelo;Partij van de Eenheid;13
141;Almelo;Partij voor de Dieren;1062
141;Almelo;Piratenpartij;81
141;Almelo;SP (Socialistische Partij);2758
141;Almelo;Splinter;63
141;Almelo;Staatkundig Gereformeerde Partij (SGP);225
141;Almelo;Trots op Nederland (TROTS);89
141;Almelo;U-Buntu Connected Front;3
141;Almelo;VVD;8416
141;Almelo;Volt;545
141;Almelo;Wij zijn Nederland;7
147;Borne;50PLUS;118
147;Borne;BBB;262
